CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
Der neu eingefuehrte Lifting-Plan wurde in gesondertem Ordner im Bereich der Kransteuerung zur Verwendung bereit gestellt. Plan ausserdem im Aushang bei RRM,Process Safety,KGD-VOH/BGH Positive Beobachtung Umsetzung Verwendung Lifting Plan,Non-Process Safety
Wandhalterung Feuerloescher und Kennzeichnung nicht vorhanden,Process Safety,Hiberniastr. Herten: Wandhalterung Feuerloescher und Kennzeichnung nicht vorhanden,Non-Process Safety
"Es sind zwei Formulare zum Kranfahren im HSE Laufwerk eingestellt. Die „Bedienerlaubnis Kranfahrer“ ist fuer die Partnerfirma gedacht. Die Beauftragung ist fuer Uniper Personal. Die Formulare sind im HSE-Laufwerk hinterlegt, HSE-OE 02-10-12.",Process Safety,"Kranfuehrer: Beauftragung, Bedienerlaubnis.",Non-Process Safety
Contactor failed to open on request,Process Safety,PSO - 4B SSFP Lub Oil Pump,Non-Process Safety
Oskarshamn 3 - Olast dorr mellan D1.36 och D1.21.,Process Safety,Oskarshamn 3 - Olast dorr mellan D1.36 och D1.21.,Non-Process Safety
Risiko Weniger: Die HK 1 bis drei konnte man nicht zuenden. Die Verriegelungen fuer den Druck waren falsch eingestellt. wurde durch I/LT neu festgelegt.,Process Safety,Risiko Weniger: Die HK 1 bis drei konnte man nicht zuenden. Die Verriegelungen fuer den Druck waren falsch eingestellt. wurde durch I/LT neu festgelegt.,Non-Process Safety
Die Hydraulikleitung ist vermutlich durch Revisionsarbeiten verbogen worden. An einigen Stellen des Hydrauliksystems sind OEltropfen zu sehen.,Process Safety,Verbogene Hydraulikoelleitung mit kleinen Undichten im Bereich SSRSKl A4 zum SpWB Block 1,Non-Process Safety
"Der Ablauf an der Stopfbuche ist verstopft, Kondensat fliesst
ueber das Pumpengehaeuse ab.",Process Safety,Hauptkondensat Block 4 - Kondensat laeuft ueber Pumpengehaeuse ab,Non-Process Safety
"Felaktig noddosering till HT dom och MT dom, pannan CCGT pa OVT",Process Safety,"Felaktig noddosering till HT dom och MT dom, pannan CCGT pa OVT",Non-Process Safety
Eine Partnerfirma hat den Generator nicht ausreichend abgedeckt,Process Safety,Bohrarbeiten mit Spaene neben dem Generator,Non-Process Safety
WP3 Vattenblastring,Process Safety,WP3 Vattenblastring,Non-Process Safety
"U1 A SSFP tripped on protection, with B SSFP performance poor, load was lost and MEL reduced.",Process Safety,Op loss - Unit 1 A SSFP Tripped,Non-Process Safety
"Leiter weisst erhebliche Schaeden auf, fuer weitere Nutzung nicht geeignet.",Process Safety,Defekte Anlegeleiter,Non-Process Safety
Work being carried out to clean CMB that was planned for tomorrow (15/04/21) without a safety document. Work had been assessed as a Limited Work Certificate on SAP and SAPR (SAP approved) which enabled toe work order to be printed off before a safety document had been written and safety document number annotated to MWO.,Process Safety,Work being carried out without a relevant safety document.,Non-Process Safety
WP12.2 dorr oppen i korridor B1 plan 4,Process Safety,WP12.2 dorr oppen i korridor B1 plan 4,Non-Process Safety
"Gezocht naar informatie ondergrondse leidingen voor graafwerkzaamheden voor NESTE bij hek Llondell. Blok tekening 506 was digitaal verdwenen

De informatie van ondergrondeseleidingen is niet op orde
Er zijn 2 sets tekening die geen van beide op orde zijn.
Voorstel om tekening sets oude  zijde EFM-0Z9-0201 etc.  en van de nieuwe zijde MPP3-0UZ9ect. samen te voegen  tot één set.

Na informatie wordt er een oude versie van bloktekening EFM-0Z9-0201-506 beschikbaar gemaakt.

De informatie van deze tekeningen op orde te maken.
Alle niet verwerkte informatie op orde maken 

Nieuwe leidingen en fouten in tekeningen herstellen",Process Safety,ondergrondseleidingtekeningen niet op orde,Non-Process Safety
"Tuerfalle defekt, Bruecke 5 - 4",Process Safety,"Block 5, Tuerfalle defekt",Non-Process Safety
"Zur Verbesserung der Arbeitssicherheit wurde an die beiden Maschinen-Trafos
ein Podest und eine Stufenleiter montiert. Wenn man auf dem Podest im Bereich der Leiter steht gibt es direkt am Aufstieg
keinen Schutz gegen Absturz.",Process Safety,LPZ Aufstieg 110 kV Maschinentrafo,Non-Process Safety
"Hot Reheater drain valve 933 drive shaft was found on the floor and appears to have broken away from it's position dropping some 10 feet to ground level.  The drive shaft is a substantial piece of steel, anyone underneath when the drive shaft fell could have been seriously injured.",Process Safety,PSNH - Unit 1 Hot Reheater drain valve 933,Non-Process Safety
"Containern an Frischluefter 1 + 2:
Die Container stehen schon ewig neben den Frischlueftern 1 + 2.
Eine Entfernung ist wuenschenswert.",Process Safety,nicht genutzte Container neben den Frischlueftern 1 + 2,Non-Process Safety
"Die Kuehlwasserleitung zum Nachkuehler vom E- Kompressor 1 ist ab Absperrarmatur 69UB10S504 eingefroren.  
Besicherung Druckluftversorgung eingeschraenkt. Kundenversorgung eingeschraenkt mit Potenzial zum Produktionsausfall beim Kunden",Process Safety,Kuehlwasserleitung zum Nachkuehler vom E- Kompressor 1 eingefroren.,Non-Process Safety
"An alarm was discovered on unit 6 DCS linked to the Tantronic gas detection system. We often receive a lot of nuisance annunciations of this particular alarm due to low sample flows. On this occasion it was investigated and the same alarm was showing that there was a fault on the system (sample pump failure). This meant that there was no EV or SEV combustion ring gas detection and the alarm received was the same priority 3 alarm that you would receive for a low sample flow on one sample point.
A failure of a part of the gas detection system should give a more significant alarm.",Process Safety,Wrongly prioritised alarm,Non-Process Safety
"For CPU-1: 
-	At 16:15 Non urgent alarm appear in SCADA.
-	16:15 Furnace PLC was checked for alarm details and it is showing LAL-1711 (13 %) and continue going down trend.
-	At that time Naphtha flow to the furnace is 1.2 TPH and Naphtha Pump (P-004) discharge to KOD is 1.9 TPH (KOD  level control XV open and close function is ok throughout shift).
-	From 16:19 to 16:21. KOD level continued decreasing so Field Operator informed to increase flow to KOD to prevent furnace Naphtha pump tripping on low level (LL-1711).
-	16:21 Low Low Level alarm (LALL -1711) appeared  in PLC and furnace Naphtha pump got tripped on Low Level (LL).  Furnace didnt  trip and continued firing  with 250Kg/hr flow rate under pressure.
-	Furnace temperature started to decreases so unit  was kept on long circulation at 16:30 and later kept on short circulation.
-	Field Operator checked Naphtha Knock Out Drum (KOD) physically and found KOD has started to over fill.",Process Safety,CPU-1 Level Measurement Failure on Furnace Naphtha vessel,Non-Process Safety
Hog temperatur i RS,Process Safety,Hog temperatur i RS,Non-Process Safety
Bygglayouter saknas pa B1 i reaktorbyggnad.,Process Safety,Bygglayouter saknas pa B1 i reaktorbyggnad.,Non-Process Safety
"Korridor vor Fernwirkraum: Kuehlmitttelleitung unter der Decke vor Fernwirkraum leck, gruener Fleck auf Boden",Process Safety,"ROG 1400 - Korridor vor Fernwirkraum: Kuehlmitttelleitung unter der Decke vor Fernwirkraum leck, gruener Fleck auf Boden",Non-Process Safety
Kessel 1: teilweise alte verschlissene Ummantelungen an den Zuleitungen Kessel 1,Process Safety,alte verschlissene Ummantelungen an den Zuleitungen Kessel 1,Non-Process Safety
Olast brevlada,Process Safety,Olast brevlada,Non-Process Safety
It has been picked up during a safety walk that there are still temporary KKS tags on the new boiler hydrastep system which was implemented as a modification during HE. These KKS tags should have been permanent and installed prior to the modification being 'signed off'.,Process Safety,Incomplete HE modification- Permanent KKS tags required on new boiler bullseye system.,Non-Process Safety
The station appointed Civil contractor used transformer road to access the area of their excavation.  They drove through the Synch Comp CDM area through a fence opened to allow plant to access and then out through the other side by the OCGT house and opened installed heras fencing without asking permission.,Process Safety,Unauthorised access to CDM area,Non-Process Safety
A loud steam leak was discovered in the north superheater drain area. Suspect valve packing has blown out of an isolating valve to level detector.,Process Safety,Superheater drain valve steam leak.,Non-Process Safety
"During a unit walkround  a blank was discovered to have wound itself off of the bottom of a 2"" drain on the base of the GT exhaust, exhaust gas leaking from this drain line would be in excess of 600C.",Process Safety,Unit 8 GT Exhaust Drain leak,Non-Process Safety
Oskarshamn 3 - Risk for obefogad eller utebliven oppning av 314.,Process Safety,Oskarshamn 3 - Risk for obefogad eller utebliven oppning av 314.,Non-Process Safety
"Ein Mitarbeiter der Firma Degener hat bei Reinigungsarbeiten mit einem Kehrblech einen unter dem Band liegende Reinigungsschieber angestossen, sodass dieser in Kontakt mit einer Umlenkrolle der Spannvorrichtung kam und sich um diese herumgewickelt hat. Da der MA der Firma Degener sofort die Reissleine gezogen hat konnte ein groesserer Schaden verhindert werden. Es kam zu keinem Personenschaden.",Process Safety,Reinigungsschieber um Umlenkrolle gewickelt,Non-Process Safety
OVT: Skyltar till cisternomradet borjar lossna,Process Safety,OVT: Skyltar till cisternomradet borjar lossna,Non-Process Safety
OVT GT - Cisternomrade,Process Safety,OVT GT - Cisternomrade,Non-Process Safety
Oskarshamn 3 - Rod risk - (P3.47) - Revisionsrisker RA3-23 (P3.47),Process Safety,Oskarshamn 3 - Rod risk - (P3.47) - Revisionsrisker RA3-23 (P3.47),Non-Process Safety
"The EC&I team were Investigating an oil leak on U3 HP Shaft position Differential Expansion probe.  It is standard practice to look at the current reading and note any standing alarms before any work is done.  The module was reading -1.25mm hard off scale.  There were no plant alarms standing.  Trending the value on the Ovation DCS revealed that the HP Shaft position had been reading off scale since 22/10/2021, just over 1 year.  Since this date, the generating unit has run many times with no accurate visibility of the turbine shaft position.  It was found that the alarms were not enabled in the measurement module.",Process Safety,PSO - U3 HP Shaft Position Indication Found Reading Off Scale,Non-Process Safety
"Tijdens calibreren van de drone is er een communicatie storing geweest waarbij de drone tegen de muur op het dak van de Luco ruimte is gevlogen. Reden hiervan is mogelijk radar icm bediening
Drone weegt ongeveer 7 kilo.",Process Safety,crash drone gebruik voor inspectie Leiden,Non-Process Safety
"Na vrijgave door Uniper door het TOTO/LOTO team van paneel 1L12, heeft monteur de LRMA toegepast en gecontroleerd of alles spanningsvrij was door met een duspel te meten. Nadat alles klopte en met ja is beantwoordt op de LMRA is monteur aan het werk gegaan. Door nog onduidelijke redenen is er spanning komen te staan op 1 ader. Die de monteur tijdens zijn werkzaamheden aanraakte. Oorzaak hiervan is tot op heden onbekend.",Process Safety,Spanning op ader na vrijgave en controle,Non-Process Safety
Nach einer Netzreparatur in Gladbeck vom 14.8.21-15.8.21 sind am 16.8.21 die Netze Gladbeck und Gelsenkirchen von ca. 6:00 - 9:00 Uhr ohne Waerme gewesen. Eine hohe Anzahl an Kunden hat sich telefonisch ueber die fehlende Warmwasserversorgung beschwert.,Process Safety,Versorgungsausfall Netze Gladbeck und Gelsenkirchen,Non-Process Safety
Temperatuur is snel opgelopen tot 200graden (30HHA35CT004) wat geleid heeft tot een trip van PKM30. In augustus heeft dit ook plaats gevonden. Vermoeden is dat een brandje heeft plaats gevonden in PK leiding naar de ketel toe,Process Safety,(Vermoeden van) brand in PK leiding brander 35,Non-Process Safety
"Im Rahmen der Monatsbegehung, wurde das GKW begutachtet. Dabei wurde festgestellt, dass der Windsack auf dem Dach defekt ist, die Beleuchtung im Gebaeude teilweise ausgefallen ist, sowie dass der Spannungspruefer keine aktuelle Pruefung hat und die OElsperren nicht gesetzt sind.",Process Safety,Begehung GKW - Monatsbegehung April,Non-Process Safety
"The jointing of the new SFC/SEE earthing installation to the existing MES halted, due to a failure of the jointing process, mould becoming stuck and damage to existing MES conductor.",Process Safety,Failure of Jointing Process,Non-Process Safety
"BGL 110 kV - Hydrant am hinteren Tor: Flansch offen, Schluessel steckt noch drauf",Process Safety,"BGL 110 kV - Hydrant am hinteren Tor: Flansch offen, Schluessel steckt noch drauf",Non-Process Safety
"A nagynyomású 2-es eco elkerülő szelep tömszelencéje erőssen kifújt.

HRSG HP ECO 2 by-pass valve gland seal damage –actual status: out of
operation, no leakage, on-line fixing solution still not available",Process Safety,Tömszelence kifújás - HRSG HP ECO 2 by-pass valve gland seal damage,Non-Process Safety
Aufstellen zweier Sammelstellenschilder,Process Safety,Fehlendes Sammelstellenschild,Non-Process Safety
Am 02. Maerz fand im Laderaum eines fast entleerten Kohleschiffes eine Kollision zwischen dem Schiffsentalder 1 und einem Kompaktlader (Bobcat) statt. Die abgaengige Schicht hatte den Schiffenentlader und den Kompaktlader abgestellt und den Laderaum verlassen. Die zugaengliche Schicht hat die Geraete uebernommen. Der Maschinenfuehrer des Schiffsentladers hatte sich nicht genuegend um den Standort des sich im Laderaum befindlichen Kompaktladers gekuemmert. Bei der Inbetriebnahme fuehrte die notwendige Bewgung des Entladers zu einer Kollision mit dem Kompaktladers. Es entstand Sachschaden.,Process Safety,Zusammenstoss zwischen Schiffsentlader und Kompaktlader (Bobcat) innerhalb des Laderaums eines Kohleschiffes,Non-Process Safety
Forbattring av rutin vid frankoppling 6kV-objekt,Process Safety,Forbattring av rutin vid frankoppling 6kV-objekt,Non-Process Safety
Blockerad brand- och 1a hjalpen utrustning Turbin B1,Process Safety,Blockerad brand- och 1a hjalpen utrustning Turbin B1,Non-Process Safety
Branddorrar stanger ej,Process Safety,Branddorrar stanger ej,Non-Process Safety
WP3 B2 rokigt pa trubin,Process Safety,WP3 B2 rokigt pa trubin,Non-Process Safety
"Purge system on the analyser- the pressure gauge on the front of the analyser Purge air has always read “0”- confirmed by site documentation dating back to 2011. 

The Hazardous area code on the analyser contains a  “p” for pressurisation.

The Purge air regulator is connected directly into a monitoring system inside the analyser electronics enclosure ( this system is currently disabled) 

The analyser is installed in a zone 2 area. 

So the equipment has been operating in a zone 2 area without the protection system operational.",Process Safety,Maxum Hazardous Area Classification Pressurization / Purge,Non-Process Safety
"De grondafsluiter om de LD-gasleiding dicht te zetten buiten het hulpketelhuis is niet bereikbaar  door de aanwezige rijplaten.
In geval van lekkage aan de omloopleiding bij de tripklep kan door operations de grondafsluiter niet gesloten worden.
Dit na aanleiding van gescheurde leiding jaren geleden.",Process Safety,EDH. Gasafsluiter LD-gas niet bereikbaar.,Non-Process Safety
Saknas brandtatning,Process Safety,Saknas brandtatning,Non-Process Safety
Sopsackar upptackta med falsk signatur och dosrat.,Process Safety,Sopsackar upptackta med falsk signatur och dosrat.,Non-Process Safety
Felmarkt Container ML2 inhagnaden.,Process Safety,Felmarkt Container ML2 inhagnaden.,Non-Process Safety
"Vrijdagmiddag na 19:00 uur sharepoint benaderd. Kon sharepoint niet bereiken, maar webpage mededeling dat sharepoint voor patching uit bedrijf is tot zaterdag 20:00 uur.
Hierdoor kan productieinformatie niet benaderd worden.
Maar vooral kon niet van te voren essentiele informatie beschikbaar gemaakt worden (kopie) omdat het uitnemen van sharepoint niet bekend was bij mij.
Hierdoor geen beschikking over:
- Shiftleaderverslag en de daarin gemaakte afspraken en bedrijfsvoering.
- Consignatiedienstrooster.
- Procedures en instructies.",Process Safety,Sharepoint gepland maar onaangekondigd niet beschikbaar,Non-Process Safety
Report of burning smell from inside switch room by working party carrying out HV switchgear maintenance. Investigation carried out and fault traced to damaged connection inside 415V/110V transformer causing smell,Process Safety,Outage: U4 6.6kV switch room - 415V/110V TX,Non-Process Safety
Oskarshamn 3 - RA3-24 ERF - Flyttat blyskydd pa reaktorlab O3,Process Safety,Oskarshamn 3 - RA3-24 ERF - Flyttat blyskydd pa reaktorlab O3,Non-Process Safety
"Az esedékes gázérzékelő karbantartás során kiderült, hogy az ammónia tároló konténerben a 100ppm-es ammónia érzékelő nem üzemel, cseréje szükséges.

During the scheduled gas sensor maintenance, it was discovered that the ammonia sensor (100 ppm) in the ammonia storage container is not functioning and needs to be replaced.",Process Safety,"Ammónia szenzor meghibásodása

Ammonia sensor failure",Non-Process Safety
"Report of a smell in the Water Treatment Plant. On investigation it was found that there was a leak from a flange causing HCl to be dripping in to the plant bund. The leak was isolated. The Area was barriered off, ventilated and the HCl liquid washed down into the plant bunded area.",Process Safety,HCl leak in Water Treatment Plant,Non-Process Safety
Windkessel E3 undicht,Process Safety,KGI-BG4-Undichter Windkessel,Non-Process Safety
Repeat of known fault on Siprotec motor controller failing to open 11kV motor starting device.,Process Safety,U7 MCW Pump failed to shut down on command,Non-Process Safety
"Gerueststangen auf Kopfhoeghe bitte farblich kennzeichnen.
Am letzten Geruest auf Absturzgefahr und Pflicht zur Sicherung mit Hinweisschild hinweisen.",Process Safety,DOR: Begehung Baustelle Fugensanierung,Non-Process Safety
"Na de brand bij AVR in september 2023 zijn een aantal signalen in DCS overbrugd/uitgeschakeld. Het gaat hierbij om:
- Het signaal ""trip AVR"".
- Het ""watchdog"" signaal dat continu de communicatie tussen AVR en WSG monitort en in geval van verstoringen dit tijdig signaleert.

Ondanks dat de AVR alweer enige tijd in bedrijf is en vermogens rond circa 100 MW levert, zijn deze signalen nog steeds inactief.

Er is kennelijk geen systematiek die ons ervan verzekerd dat voordat een installatie weer in bedrijf gaat, alle alarmen en beveiligingen weer operationeel zijn.",Process Safety,Signalen AVR-LON niet operationeel,Non-Process Safety
WP3  Skrap i vask,Process Safety,WP3  Skrap i vask,Non-Process Safety
"Cold reheat Safety valves lifted during to a GT PLST,",Process Safety,Unit 8 Safety Valves lifted during a GT PLST,Non-Process Safety
An excavation was carried out to expose some pipe work in front of the OCGT House at Grain.  Over time a leak and rain water has washed away supporting material from underneath the tarmac leaving it in a potentially unstable condition. Effectively undermining the road,Process Safety,Unsupported excavation,Non-Process Safety
Schliessanlage entspricht nicht den Vorgaben,Process Safety,Schliessung Tor zum Hosenrohr,Non-Process Safety
Ammonia detector QHS01CQ153 went into fault on numerous occasions prior to tripping the ammonia plant.,Process Safety,PSO - Ammonia detector fault plant trip.,Non-Process Safety
"Begehung 04 USY, neben Hilfskesselgebaeude
Die Safety-Ringe (Spritzschutz) wurden nicht montiert, liegen daneben.",Process Safety,"KGW2 Sicherheitsbegehung 02.09.2022
Safety-Ringe (Spritzschutz) montieren",Non-Process Safety
"Unit 1 Gland Steam Desuperheater water supply strainer lid emitted water at up to 12Bar causing a jet of water into the air and cascading all over the HP heaters.
It appears that the tightening handle may have been inadvertently loosened prior to the Extraction pump going in service.",Process Safety,PSNH - Uncontrolled water release at pressure,Non-Process Safety
Oskarshamn 3 - RA3-25 ERF – Kraftigt externlackage i system 3.728,Process Safety,Oskarshamn 3 - RA3-25 ERF – Kraftigt externlackage i system 3.728,Non-Process Safety
OVT GT: EN-besiktning ej utford,Process Safety,OVT GT: EN-besiktning ej utford,Non-Process Safety
"Whilst undertaking a walk down prior to the signing of a Safety Rules Inclusion (SRIC) document, it was noted that part of the plant that was to be included was not yet installed",Process Safety,Error on Safety Rules Inclusion Certificate Documentation (SRIC),Non-Process Safety
Large dust leak on unit 3 upper precips D1A hopper.,Process Safety,PSO - Large Dust Leak On Unit 3 Upper Precips D1A Hopper.,Non-Process Safety
"Begehung Schaltraeume CSUs 
Die Tuerschliesser der Schaltraeume klemmen, aktuell kommt man aus dem Schaltraum 
schlecht raus.",Process Safety,"KGW2 Sicherheitsbegehung 17.01.2022
Kohlestaubbelag im Schaltschrank",Non-Process Safety
"Faulty activation of the new fire alarm on Saturday, 6 August. The Engineer on
duty was on site and managed the incident.",Process Safety,"Fire Alarm System
Faulty actication",Non-Process Safety
"Neue Rohrbruecke zwischen DWS und GuD 
Hoehe feststellen, Schild anfertigen, Schutz bauen?",Process Safety,"Neue Rohrbruecke zwischen DWS und GuD 
Notwendigkeit ueberpruefen: Schild / Schutz",Non-Process Safety
"As part of pipe installation work, concrete hold down bolts needed to be drilled. The ground clearance was complete and areas marked out, the maintenance order was issued but the contractor drilled 100mm anchors without safety document being issued as assigned to the specific MO line.",Process Safety,"Work completed without safety document being issued.
extended due to late assignment 10th Jan 25",Non-Process Safety
Ein defekter UEberflurhydrant wurde im Bereich 06 UET und der DB Freiluftschaltanlage vorgefunden.,Process Safety,KWD Defekter UEberflurhydrant am 06UET Grobaschelager,Non-Process Safety
"Tijdens een ronde is geconstateerd dat er een looprooster in slechte conditie is .
De locatie is 10 +  tussn silo A en B , nabij pomp 50 .",Process Safety,Looprooster sterk gecorrodeerd,Non-Process Safety
"IP bypass suspected as passing, PEM 120 EXCLUSION AREA IN FORCE. Given more time (End of Jan 2022) at IQM (15/12/21) and a separate meeting held for PEM120s.",Process Safety,u6 leak ip bypass,Non-Process Safety
"Door een electrische schakelhandeling is van 1 rail de stuurspanning korststondig weggevallen. Als gevolg hiervan zijn er 2 aanvoerwaterpompen getript en 1 retourwaterpomp. 
Door het ontbreken, of verkeerd ingestelde beveiligingen heeft de overgebleven aanvoerwaterpomp langdurig zeer ver buiten de pompcurve gedraaid met periodiek zeer hoge trillingen (25 mm/s). Pompen die later herstart zijn zijn vervolgens ook zeer ver buiten hun curve gaan draaien en diverse malen getript op minimale zuigdruk.
De begrenzing van de pompen blijkt op de tripwaarde te staan zodat de bestaande beveiling/regeling niet kan werken. 
Pompen zijn niet beveiligd op opereren ver buiten hun werkgebied. Door aanwezig personeel is op dat moment veel geluid en trillingen waargenomen in het gehele aanvoerwatersysteem.
Van AW-pomp B is vermoedelijk de terugslagklep beschadigd omdat fysieke terugstroming is geconstateerd ter plaatse.
De retourwaterpomp heeft langdurig ver buiten zijn curve geopereerd en de tweede pomp, die na een lokale reset weer beschikbaar kwam, wilde niet vrijwillig synchroniseren met de bijstaande pomp. (totaal flow gelijk verdelen over de bijstaande pompen) Deze actie moest op hand uitgevoerd worden.

Uiteindelijk WSG weer in de regeling gekregen door op HAND 2 pompen in bedrijf te nemen en AVR terug te regelen.",Process Safety,Deeluitschakeling WSG door schakelhandeling,Non-Process Safety
"Esemény és nyomásesés nélkül, indokolatlanul elindult az elektromos tűzivízszivattyú.",Process Safety,Elektromos tűzivízszivattyú indokolatlan indulása; 03.14.; (04.11.-én is),Non-Process Safety
Im leeren Schalthaus (1. OG): Heizung haengt nicht an der Wand. Inventarnr: 11015,Process Safety,"BGL Schalthaus 2 ALT - Im leeren Schalthaus (1. OG): Heizung haengt nicht an der Wand 
Inventarnr: 11015",Non-Process Safety
Brandhaspel is niet meer functioneel,Process Safety,Brandslang moedwillig slang doorgesneden,Non-Process Safety
Klimaanlage Schaltschrank. Bei der Begehung am 20.10.2022 wurde das Pruefsiegel mit dem letzten Pruefdatum 11/2022! gefunden. Protokoll des Sachverstaendigen kontrollieren.,Process Safety,Shamrock Schalthaus Kabelkeller Block B,Non-Process Safety
"On inspection for a project it was identified that all the labelling on the equipment for the HP bearing is fitted to the equipment for the  LP2 bearing and vice versa.
The P&ID has been checked and the physical pipework is installed as per the P&ID, but the labelling on the equipment on these 2 systems is incorrectly fitted.
This applies to Unit 6, Unit 7 & Unit 8 Steam Turbines.",Process Safety,Grain - Steam Turbine Bearings - Fire Deluge System - Incorrectly labelled (All units),Non-Process Safety
When returning SWRO A to service the Flange on the suction to the feed pump was found to be blown out.,Process Safety,SWRO A Feed pump suction flange blow out,Non-Process Safety
"On returning to the office, stores manager noticed that the vent flap on the ceiling mounted air conditioning unit had fallen and broken on the desk and surrounding floor",Process Safety,Falling object,Non-Process Safety
"aerosol paint can failed mechanically, small 4mm hole imploded into can releasing contents over mechanical trainer.",Process Safety,Process Safety,Non-Process Safety
Kontroll-lappar ligger och skrapar,Process Safety,Kontroll-lappar ligger och skrapar,Non-Process Safety
Tijdens het verladen van 2200 ton bodemas richting een schip kwam een troittoir band zichtbaar in de af te voeren partij. Het stuk beton zag er redelijk nieuw uit. Het beton had voor beschadigingen in de afvoer trein richting schip kunnen leiden of een klacht vanuit de klant. Deze 2200 ton is de eerste levering aan deze nieuwe klant.,Process Safety,Trottoir band in bodem as afvoer 2200 ton naar klant,Non-Process Safety
"When disconnecting the vapour return hose at the tanker end there was a small release of ammonia vapour, causing the east side line-of-sight gas detector to initiate a SIS ammonia plant trip. The ammonia plant was forwarding to U3 at the time of the trip and NOx injection was lost for c.40 minutes, until ammonia plant was re-established.
To clarify both the tanker chiksan arm and vapour return hose were off-pressure. The chiksan arm had been successfully disconnected. Conclusion is that there must of been a small amount of liquid ammonia within the vapour return hose that was not evident (zero pressure & no frosting), which gassed off during disconnection.",Process Safety,PSO - Ammonia plant trip after delivery,Non-Process Safety
Oskarshamn 3 - Dorrblad till transportport ej stangt,Process Safety,Oskarshamn 3 - Dorrblad till transportport ej stangt,Non-Process Safety
"AFCU's tripped when B Dilution Air Fan discharge pressure dropped, filter blocked. A Fan N/A as isolated for repairs on 17/08/21, safety document not collected. Potential breach of environmental limits with Ammonia injection shut off.",Process Safety,Operational Loss - U3 AFCU's tripped when B Dilution Air Fan discharge pressure dropped - Potential breach of environmental limits with Ammonia injection shut off.,Non-Process Safety
Oskarshamn 0 - TIL - Obromsat slap,Process Safety,Oskarshamn 0 - TIL - Obromsat slap,Non-Process Safety
Defekte entl. Feuerloescher,Process Safety,KWS Gelaende- defekte Feuerloescher,Non-Process Safety
"Unit BOAI’d to service, there was no PN for the entire period….

Unit tripped shortly after start-up on 30th due to low HP feed flow. Feed reg bypass valve faulted. Fault rectified but not in time to save unit from protection trip.

Mel Redeclared to 0MWso @ 12:50hrs 
MEL Redeclared available (sloping MEL to reflect run up) from 14:00hrs 

HP Feed Reg Bypass valve faulted causing HP Feed low flow protection, operator managed to regain flow and re-set GT emergency shutdown, the situation repeated itself and the operator was unable to re-set the GT protection shutdown before unit de-synchronised. 

A GT Protection Shutdown is NOT a GT trip it’s a forced failsafe shutdown following a de-load ramp rate therefore no GT trip penalty and no purge required.",Process Safety,HP FEED REG BYPASS FAULT,Non-Process Safety
BauMineral Mitarbeiter sollte die Bedienung am Streufahrzeug bei der Beladung auf der Baustelle in Geilenkirchen vornehmen.,Process Safety,Beobachtung Baustelle Arge L364 N - Geilenkirchen,Non-Process Safety
"HP OTC Air Leak identified on top of vessel. Thermal survey identified hot spots around top inspection ports. Suspected gasket failed. Low risk of deterioration as flanged bolted joint.

PEM120 temporary exclusion zone in effect to restrict access via HP OTC ladder, Aux block roof ladder and gantry adjacent OTC. Signage attached to ladders.

Access to be discussed and agreed with SAP on case by case basis to ensure working party is aware of risk and any signs of deterioration. Radio on working party.

Exclusion zone assessment attached.

PT risk reference ENF00535-R.",Process Safety,GMI-PEM120 Temporary Exclusion Zone: HP OTC Air Leak,Non-Process Safety
"Ercobandbuehne, Leiter, letzte Pruefung 10/19
MH, 11 m. Elektrisches Geraet Pruefung faellig.
MH, 11 m Handkarren, keine aktuelle Pruefung",Process Safety,"faellige Pruefung Geraete
(Begehung Pkt. 1, 5 und 6)",Non-Process Safety
Maschinenhaus Krane CB 6: Steuerelement nicht gesichert; Schloss war offen,Process Safety,"Begehung - Block C
Maschinenhaus Krane CB6, Steuerelement nicht gesichert",Non-Process Safety
The unit PSLT'd due to MCW Discharge valve issues and following the trip the unit desynched and started to run down as it should. Safety valves were lifting and it was noted that the EV burners were still lit and GT Trip button had to be pressed to extinguish them.,Process Safety,U6 GT PLST - EV Burners not extinguished,Non-Process Safety
Luftrenare saknade forfilter,Process Safety,Luftrenare saknade forfilter,Non-Process Safety
stoom condens afvoer verzamelbalk is lek op het dak,Process Safety,Watergebouw UCML,Non-Process Safety
Es liegt oelverschmiertes Material um den Zuteiler herum.,Process Safety,Zuteiler Block 5 - oelverschmiertes Material,Non-Process Safety
Blockerad brandslang,Process Safety,Blockerad brandslang,Non-Process Safety
Aufgrund von unsachgemaessen Einsatz von nicht zugelassenem Equipment entstand eine leichte Havarie in der Verladestrasse.,Process Safety,Einsatz von unsachgemaessen Equipment,Non-Process Safety
"Als gevolg van werkzaamheden van de afdeling IT (vervangen servers) is de communicatie met onderstations HBS, KvZ, HDV en PBZ enige tijd uitgevallen. Hierdoor was er ongeveer 20 munten geen zicht meer op het proces en was besturing niet mogelijk.
Door het wegvallen van de procescontrole kunnen gevaarlijke situaties ontstaan!",Process Safety,"Communicatie storing onderstations (HDV, KvZ, HBS, PBZ)",Non-Process Safety
